year,population,genderIndex,happinessScore
2015,1.086952795,0.345298111,0.7226
2016,1.057570381,0.334115565,0.7087
2017,1.02767609,0.336447835,0.7078999996
2018,0.994782258,0.338659793,0.7072
2019,0.957905014,0.340737611,0.7167
