year,population,genderIndex,happinessScore
2015,1.342858435,0.49375996,0.5878
2016,1.323677576,0.491576374,0.5538000000000001
2017,1.307316991,0.490205139,0.5493000031
2018,1.287844517,0.488730282,0.5681
2019,1.265167271,0.468571544,0.5743
