year,population,genderIndex,happinessScore
2015,3.811240004,0.520217001,0.5192
2016,3.028091537,0.4861269,0.5303
2017,2.356016488,0.482105523,0.5335999966
2018,1.792156922,0.480028421,0.5161
2019,1.452664319,0.468914956,0.4906
