year,population,genderIndex,happinessScore
2015,-0.261251889,0.336141646,0.4681
2016,-0.331331574,0.335698336,0.4324
2017,-0.386347533,0.327494442,0.4096000195
2018,-0.466425621,0.307926357,0.4103
2019,-0.533355282,0.29878056,0.4332
