year,population,genderIndex,happinessScore
2015,1.120992502,0.103010602,0.72
2016,1.081396299,0.092103161,0.7119
2017,0.694621104,0.079758324,0.7006000042
2018,0.487071925,0.065022863,0.7139
2019,0.412539809,0.046641711,0.7246
