year,population,genderIndex,happinessScore
2015,0.762033335,NA,0.4307
2016,0.689521233,0.435005099,0.43949999999999995
2017,0.633962381,0.440670729,0.4545000076
2018,0.608482652,0.401488066,0.43079999999999996
2019,0.625548337,0.394608498,0.43600000000000005
