year,population,genderIndex,happinessScore
2015,0.944845307,0.167792246,0.6940000000000001
2016,1.128834064,0.158273995,0.6907
2017,1.088675561,0.142481893,0.6977000237000001
2018,1.238875453,0.131208092,0.6977
2019,1.511494038,0.127248421,0.7021
